experiment,model,n_examples,coverage_ratio,avg_step_count_if_present
exp1,exp1_baseline,104,1.0,15.961538461538462
exp1,exp1_permutation,104,0.9615384615384616,16.1
exp1,exp1_full,104,0.9807692307692307,16.137254901960784
exp1,exp1_synthetic,104,1.0,16.33653846153846
exp2,exp2_mixed,104,0.22115384615384615,4.217391304347826
exp2,exp2_sequential,104,1.0,16.442307692307693
exp2,exp2_structured,104,1.0,16.423076923076923
exp2,exp2_unstructured,104,0.16346153846153846,2.8823529411764706
exp3,exp3_warmup,104,0.9807692307692307,15.96078431372549
exp3,exp3_no_warmup,104,0.9711538461538461,15.881188118811881
exp3,exp3_staged,104,0.9903846153846154,16.436893203883496
